hanzi	pinyin	keyword	radical	strokeCount	hskLevel	generalStandard	frequencyRank
攻	gōng	attack, assault; criticize	攴 66.3	7	6	630	588
父	fù	father; KangXi radical 88	父 88.0	4	4	141	589
苏	sū		艸 140.4	7	6	677	590
密	mì	dense, thick, close; intimate	宀 40.8	11	4	2458	591
低	dī	low; to lower, hang, bend, bow	人 9.5	7	4	781	592
朝	cháo	dynasty; morning	月 74.8	12	5	2559	593
友	yǒu	friend, companion; fraternity	又 29.2	4	1	97	594
诉	sù	accuse; sue; inform; narrate	言 149.5	7	2	894	595
止	zhǐ	stop, halt, desist; detain	止 77.0	4	4	109	596
细	xì	fine, tiny; slender, thin	糸 120.5	8	4	1340	597
愿	yuàn	sincere, honest, virtuous	心 61.10	14	3	3094	598
千	qiān	thousand; many, numerous; very; (Cant.) a cheater, swindler	十 24.1	3	2	41	599
值	zhí	price	人 9.8	10	4	1956	600
仍	réng	yet, still, as ever; again; keep -ing, continuing	人 9.2	4	4	135	601
男	nán	male, man; son; baron; surname	田 102.2	7	2	733	602
钱	qián	money, currency, coins	金 167.5	10	1	1928	603
破	pò	break, ruin, destroy; rout	石 112.5	10	4	1867	604
网	wǎng	net; network; KangXi radical 122	网 122.0	6	3	442	605
热	rè	hot; heat; fever; restless; zeal	火 86.6	10	1	1809	606
助	zhù	help, aid, assist	力 19.5	7	2	719	607
倒	dào	fall over; lie down; take turns	人 9.8	10	4	1960	608
育	yù	produce, give birth to; educate	肉 130.4	8	3	1225	609
属	shǔ	class, category, type; belong to	尸 44.9	12	5	2800	610
坐	zuò	sit; seat; ride, travel by	土 32.4	7	1	797	611
帝	dì	supreme ruler, emperor; god	巾 50.6	9	6	1633	612
限	xiàn	boundary, limit, line	阜 170.6	8	5	1323	613
船	chuán	ship, boat, vessel	舟 137.5	11	3	2345	614
脸	liǎn	face; cheek; reputation	肉 130.7	11	3	2359	615
职	zhí	duty, profession; office, post	耳 128.5	11	4	2192	616
速	sù	quick, prompt, speedy	辵 162.7	10	4	1853	617
刻	kè	carve, engrave; quarter hour	刀 18.6	8	3	1224	618
乐	lè	happy, glad; enjoyable; music	丿 4.4	5	2	287	619
否	fǒu	not, no, negative; final particle	口 30.4	7	4	703	620
刚	gāng	hard, tough, rigid, strong	刀 18.4	6	3	441	621
威	wēi	pomp, power; powerful; dominate	女 38.6	9	5	1444	622
毛	máo	hair, fur, feathers; coarse	毛 82.0	4	4	123	623
状	zhuàng	form; appearance; shape; official	犬 94.3	7	5	828	624
率	lǜ	to lead; ratio; rate; limit	玄 95.6	11	5	2395	625
甚	shén	great extent; considerably	甘 99.4	9	4	1400	626
独	dú	alone, single, solitary, only	犬 94.6	9	5	1602	627
球	qiú	ball, sphere, globe; round	玉 96.7	11	2	2155	628
般	bān	sort, manner, kind, category	舟 137.4	10	3	1980	629
普	pǔ	universal, general, widespread	日 72.8	12	4	2741	630
怕	pà	to fear, be afraid of; apprehensive	心 61.5	8	3	1269	631
弹	dàn	pellet, bullet, shot, shell	弓 57.8	11	4	2473	632
校	xiào	school; military field officer	木 75.6	10	1	1847	633
苦	kǔ	bitter; hardship, suffering	艸 140.5	8	4	999	634
创	chuàng	establish, create; knife cut	刀 18.4	6	5	494	635
假	jiǎ	falsehood, deception; vacation	人 9.9	11	3	2337	636
久	jiǔ	long time (ago); time passage, grow late	丿 4.2	3	3	47	637
错	cuò	error, blunder, mistake; wrong	金 167.8	13	2	2936	638
承	chéng	inherit, receive; succeed	手 64.4	8	5	1315	639
印	yìn	print, seal, stamp, chop, mark	卩 26.4	5	4	285	640
晚	wǎn	night, evening; late	日 72.7	11	2	2270	641
兰	lán	orchid; elegant, graceful	八 12.3	5		306	642
试	shì	test, try, experiment	言 149.6	8	2	1286	643
股	gǔ	thighs, haunches, rump; share	肉 130.4	8	5	1186	644
拿	ná	take, hold, grasp; bring; with	手 64.6	10	3	1983	645
脑	nǎo	brain	肉 130.6	10	1	2001	646
预	yù	prepare, arrange; in advance	頁 181.4	10	4	2148	647
谁	shuí	who? whom? whose? anyone?	言 149.8	10	1	2122	648
益	yì	profit, benefit; advantage	皿 108.5	10	5	2055	649
阳	yáng		阜 170.4	6	3	572	650
若	ruò	if, supposing, assuming; similar	艸 140.5	8	6	1002	651
哪	nǎ	which? where? how?	口 30.7	9	1	1515	652
微	wēi	small, prefix micro-, trifling	彳 60.10	13	4	2965	653
尼	ní	Buddhist nun; transliteration	尸 44.2	5		326	654
继	jì	continue, maintain, carry on	糸 120.7	10	4	2153	655
送	sòng	see off, send off; dispatch, give	辵 162.6	9	2	1645	656
急	jí	quick, quickly; urgent, pressing	心 61.5	9	3	1609	657
血	xuè	blood; radical number 143	血 143.0	6	5	479	658
惊	jīng	frighten, surprise, startle	心 61.8	11	4	2445	659
伤	shāng	wound, injury; fall ill from	人 9.4	6	4	468	660
素	sù	white (silk); plain; vegetarian; formerly; normally	糸 120.4	10	5	1775	661
药	yào	leaf of Dahurian angelica plant; medicine	艸 140.6	9	2	1423	662
适	shì	go, reach; appropriate, suitable	辵 162.6	9	4	1546	663
波	bō	waves, breakers; undulations	水 85.5	8	6	1261	664
夜	yè	night, dark; in night; by night	夕 36.5	8	5	1209	665
省	shěng	province; save, economize	目 109.4	9	4	1474	666
初	chū	beginning, initial, primary	刀 18.5	7	5	889	667
喜	xǐ	like, love, enjoy; joyful thing	口 30.9	12	1	2523	668
卫	wèi	guard, protect, defend	乙 5.2	3	4	65	669
源	yuán	spring; source, head; surname	水 85.10	13	5	3008	670
食	shí	eat; meal; food; KangXi radical number 184	食 184.0	9	5	1589	671
险	xiǎn	narrow pass, strategic point	阜 170.7	9	4	1733	672
待	dài	treat, entertain, receive; wait	彳 60.6	9	5	1580	673
述	shù	narrate, state, express	辵 162.5	8	5	1032	674
陆	lù	land, continental; army	阜 170.5	7	5	912	675
习	xí	practice; flapping wings	冫 15.1	3	1	70	676
置	zhì	place, lay out; set aside	网 122.8	13	5	2931	677
居	jū	live, dwell, reside, sit	尸 44.5	8	3	1308	678
劳	láo	labor, toil, do manual work	力 19.5	7	5	674	679
财	cái	wealth, valuables, riches	貝 154.3	7	5	756	680
环	huán	jade ring or bracelet; ring	玉 96.4	8	3	945	681
排	pái	row, rank, line	手 64.8	11	4	2168	682
福	fú	happiness, good fortune, blessing	示 113.9	13	4	3033	683
纳	nà	admit, take, receive, accept	糸 120.4	7	5	934	684
欢	huān	happy, pleased, glad; joy; enjoy	欠 76.2	6	1	587	685
雷	léi	thunder	雨 173.5	13	5	2884	686
警	jǐng	guard, watch; alert, alarm	言 149.13	19	4	3453	687
获	huò	obtain, get, receive; seize	艸 140.7	10	4	1827	688
模	mó	model, standard, pattern; copy	木 75.11	14	5	3078	689
充	chōng	fill, be full, supply	儿 10.4	6	5	525	690
负	fù	load, burden; carry, bear	貝 154.2	6	4	503	691
云	yún	say, speak; clouds	二 7.2	4	4	82	692
停	tíng	stop, suspend, delay; suitable	人 9.9	11	4	2333	693
木	mù	tree; wood, lumber; wooden	木 75.0	4	5	87	694
游	yóu	to swim; float, drift; wander, roam	水 85.9	12	2	2766	695
龙	lóng	dragon; symbolic of emperor	龍 212.0	5	5	221	696
树	shù	tree; plant; set up, establish	木 75.5	9	3	1439	697
疑	yí	doubt, question, suspect	疋 103.9	14	4	3136	698
层	céng	storey, layer, floor, stratum	尸 44.4	7	3	902	699
冷	lěng	cold, cool; lonely	冫 15.5	7	1	838	700
洲	zhōu	continent; island; islet	水 85.6	9	4	1680	701
冲	chōng	soar; pour boiling water over	冫 15.4	6	5	511	702
射	shè	shoot, eject, issue forth, emit	寸 41.7	10	5	1971	703
略	lüè	approximately, roughly; outline	田 102.6	11	5	2277	704
范	fàn	surname; bee-like insect	艸 140.5	8 9	5	1010	705
竟	jìng	finally, after all, at last	立 117.6	11	4	2390	706
句	jù	sentence	口 30.2	5	3	288	707
室	shì	room, home, house, chamber	宀 40.6	9	2	1697	708
异	yì	different, unusual, strange	廾 55.3	6	6	568	709
激	jī	arouse, excite, incite; quickly	水 85.13	16	4	3379	710
汉	hàn	Chinese people; Chinese language	水 85.2	5	1	311	711
村	cūn	village, hamlet; uncouth, vulgar	木 75.3	7	5	682	712
哈	hā	sound of laughter	口 30.6	9	5	1510	713
策	cè	scheme, plan; to whip; urge	竹 118.6	12	6	2683	714
演	yǎn	perform, put on; exercise	水 85.11	14	4	3167	715
简	jiǎn	simple, terse, succinct, a letter	竹 118.7	13	3	2954	716
卡	kǎ	card, punch card; calorie	卜 25.3	5	3	226	717
罪	zuì	crime, sin, vice; evil; hardship	网 122.8	13	6	2932	718
判	pàn	judge; discriminate; conclude	刀 18.5	7	4	849	719
担	dān	carry, bear, undertake	手 64.5	8	3	963	720
州	zhōu	administrative division, state	巛 47.3	6	6	535	721
静	jìng	quiet, still, motionless; gentle	青 174.6	14	3	3049	722
退	tuì	step back, retreat, withdraw	辵 162.6	9	5	1720	723
既	jì	already; de facto; since; then	无 71.5	9	4	1721	724
衣	yī	clothes, clothing; cover, skin	衣 145.0	6	1	520	725
您	nín		心 61.7	11	2	2331	726
宗	zōng	lineage, ancestry; ancestor, clan	宀 40.5	8	6	1275	727
积	jī	accumulate, store up, amass	禾 115.5	10	4	1945	728
余	yú	I, my, me; surname; surplus	人 9.5	7	5	795	729
痛	tòng	pain, ache; sorry, sad; bitter	疒 104.7	12	5	2734	730
检	jiǎn	check; examine	木 75.7	11	3	2227	731
差	chà	to differ; different, wrong; nearly, almost; an officer	工 48.7	9	3	1640	732
富	fù	abundant, ample; rich, wealthy	宀 40.9	12	4	2781	733
灵	líng	spirit, soul; spiritual world	彐 58.4	7	5	900	734
协	xié	be united; cooperate	十 24.4	6	6	383	735
角	jiǎo	horn; angle, corner; point	角 148.0	7	3	814	736
占	zhàn	divine; observe; versify	卜 25.3	5	4	228	737
配	pèi	match, pair; equal; blend	酉 164.3	10	5	1858	738
征	zhēng	invade, attack, conquer	彳 60.5	8	5	1159	739
